,PH,PL
2001-02-13,1333.0416666666665,1339.1666666666667
2001-02-14,1324.0416666666665,1321.9166666666667
2001-02-15,1336.0416666666665,1330.1666666666667
2001-02-16,1312.75,1321.0
2001-02-20,1294.0416666666665,1305.4166666666667
2001-02-21,1266.5833333333335,1281.8333333333333
2001-02-22,1259.0,1249.25
2001-02-23,1249.7916666666665,1241.6666666666667
2001-02-26,1273.5,1259.25
2001-02-27,1269.5416666666665,1271.1666666666667
2001-02-28,1249.625,1257.5
2001-03-01,1243.9166666666665,1230.1666666666667
2001-03-02,1240.2083333333335,1243.8333333333333
2001-03-05,1247.375,1243.25
2001-03-06,1261.6666666666665,1261.4166666666667
2001-03-07,1269.0833333333335,1264.0833333333333
2001-03-08,1269.9166666666665,1268.1666666666667
2001-03-09,1241.7916666666665,1256.9166666666667
2001-03-12,1191.375,1216.5
2001-03-13,1197.75,1186.5
2001-03-14,1175.1666666666665,1184.6666666666667
2001-03-15,1176.8333333333335,1178.5833333333333
2001-03-16,1175.9583333333335,1179.5833333333333
2001-03-19,1182.8333333333335,1174.8333333333333
2001-03-20,1164.0833333333335,1183.8333333333333
2001-03-21,1141.5416666666665,1152.9166666666667
2001-03-22,1121.7916666666665,1115.1666666666667
2001-03-23,1153.0833333333335,1137.5833333333333
2001-03-26,1169.5833333333335,1163.8333333333333
2001-03-27,1190.7083333333335,1178.5833333333333
2001-03-28,1168.7916666666665,1181.6666666666667
2001-03-29,1165.5,1162.5
2001-03-30,1175.4166666666665,1164.6666666666667
2001-04-02,1158.8333333333335,1171.0833333333333
2001-04-03,1120.7083333333335,1142.3333333333333
2001-04-04,1117.4583333333335,1117.3333333333333
2001-04-05,1154.0416666666665,1136.1666666666667
2001-04-06,1147.2916666666665,1152.6666666666667
2001-04-09,1153.2916666666665,1147.4166666666667
2001-04-10,1175.0,1169.0
2001-04-11,1180.5,1187.25
2001-04-12,1192.6666666666665,1178.9166666666667
2001-04-16,1187.8333333333335,1190.3333333333333
2001-04-17,1196.625,1185.0
2001-04-18,1248.0833333333335,1238.5833333333333
2001-04-19,1261.0,1252.75
2001-04-20,1257.375,1260.0
2001-04-23,1234.75,1246.0
2001-04-24,1224.875,1235.0
2001-04-25,1234.875,1228.5
2001-04-26,1245.25,1244.5
2001-04-27,1259.9583333333335,1250.8333333333333
2001-04-30,1261.6666666666665,1268.9166666666667
2001-05-01,1273.0,1260.25
2001-05-02,1275.625,1274.5
2001-05-03,1260.4583333333335,1264.0833333333333
2001-05-04,1271.6666666666665,1253.4166666666667
2001-05-07,1270.25,1275.5
2001-05-08,1269.5,1272.5
2001-05-09,1262.875,1263.25
2001-05-10,1267.6666666666665,1271.1666666666667
2001-05-11,1257.625,1260.25
2001-05-14,1256.0,1253.0
2001-05-15,1261.2916666666665,1257.6666666666667
2001-05-16,1285.2083333333335,1260.3333333333333
2001-05-17,1296.7083333333335,1297.3333333333333
2001-05-18,1298.75,1292.75
2001-05-21,1316.0416666666665,1304.9166666666667
